鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺中市北區尚德街74巷1~30號,91.45,住,,,1081219,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0630320,134.43,5,2,3,有,無,7900000,58767,,0.0,0,,RPONNLQKJHPFFBB67CA
北區,房地(土地+建物)+車位,臺中市北區英士路1~30號,10.47,住,,,1081111,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980902,101.82,2,2,1,有,有,7000000,68749,坡道平面,31.33,0,,RPPUMLRKJHPFFBB48CA
北區,房地(土地+建物),臺中市北區衛道路211~240號,6.92,住,,,1081223,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790621,32.95,2,2,2,有,有,2600000,78907,,0.0,0,,RPPRNLRKJHPFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區東山路二段250巷8弄31~60號,647.62,住,,,1081029,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850108,201.75,5,2,3,有,有,12000000,59480,,0.0,0,,RPQNMLTKJHPFFBB08CA
北區,房地(土地+建物),臺中市北區太平路141巷31~60號,23.91,住,,,1081222,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730418,92.41,3,2,2,有,無,5190000,56163,,0.0,0,,RPSNMLKLJHPFFBB47CA
北屯區,土地,陳平段1921~1950地號,15.9,住,,,1081222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,564243,35487,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPQMLKLJHPFFBB47CA
北區,房地(土地+建物),臺中市北區篤行路296巷1~30號,27.87,住,,,1081226,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760224,87.76,3,2,1,有,無,4400000,50137,,0.0,0,,RPOWMLKLJHPFFBB97CA
北區,房地(土地+建物),臺中市北區錦中街91~120號,5.67,住,,,1081116,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810429,35.230000000000004,1,0,1,有,有,900000,25546,,0.0,0,,RPXSMLLLJHPFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段871~900號,10.77,商,,,1081121,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850705,178.76,4,2,2,有,有,9000000,50347,坡道機械,0.0,0,,RPOUMLLLJHPFFBB87CA
北區,房地(土地+建物),臺中市北區大義街39巷1~30號,99.0,住,,,1081121,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630613,115.72,3,2,2,有,無,13150000,113636,,0.0,0,,RPPWMLLLJHPFFBB18CA
北區,房地(土地+建物)+車位,臺中市北區中清路一段31~60號,39.98,商,,,1081115,土地1建物1車位1,五層,十六層,辦公商業大樓,商業用,鋼筋混凝土造,0771130,451.37,0,0,0,無,有,11600000,25700,坡道平面,0.0,0,,RPTWMLLLJHPFFBB58CA
