鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鹽埕區,房地(土地+建物),高雄市鹽埕區新興街61~90號,16.63,商,,,1090102,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850328,144.55,4,2,4,有,有,4200000,29056,,0.0,0,,RPRQMLOKJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,14.15,商,,,1081218,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951030,139.71,3,2,2,有,有,9030000,60517,坡道機械,7.02,1000000,,RPVOMLQKJHPFFAE58CA
鼓山區,房地(土地+建物),高雄市鼓山區裕誠路1501~1530號,3.67,商,,,1090103,土地1建物1車位0,十四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800810,46.56,1,0,1,有,有,1720000,36942,,0.0,0,,RPSOMLQKJHPFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路841~870號,13.7,商,,,1081211,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951205,165.13,3,2,2,有,有,12800000,77515,坡道平面,0.0,0,,RPVPMLKLJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街121~150號,21.86,住,,,1081223,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,174.79000000000002,4,2,2,有,無,11080000,63390,坡道平面,0.0,0,雙方約定自點交日起保固滲漏水半年，如因買方修繕造成不在保固責任範圍。另浴缸滲漏部分買方已知悉，由買方自行修繕，不在上述保固責任範圍內。,RPQNMLOJKHPFFAE77CA
前金區,房地(土地+建物)+車位,高雄市前金區中山橫路121~150號,7.04,商,,,1081225,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980217,96.17,2,1,1,有,有,6400000,66549,坡道平面,0.0,0,,RPTNMLLJKHPFFAE77CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路181~210號,7.3,商,,,1081213,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,112.00999999999999,3,2,1,有,有,9000000,80350,坡道平面,0.0,0,含增建或未登記建物。;,RPWOMLKLJHPFFCE38CA
三民區,房地(土地+建物)+車位,高雄市三民區大順二路181~210號,12.51,商,,,1081229,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940614,132.72,3,2,2,有,有,7450000,56133,坡道平面,0.0,0,,RPXPMLRKJHPFFDE66CA
左營區,房地(土地+建物)+車位,高雄市左營區博愛四路1~30號,16.49,住,,,1081218,土地1建物1車位1,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1031128,234.97,3,2,2,有,有,14560000,61965,坡道平面,19.55,0,,RPSNMLKLJHPFFEE08CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區楠梓新路261巷16弄1~30號,12.44,住,,,1081220,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830628,133.95,3,2,2,有,有,4000000,29862,坡道機械,0.0,0,,RPVNMLKLJHPFFEE38CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區壽民路142巷1~30號,14.13,住,,,1081223,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870710,150.7,3,2,2,有,有,5800000,38487,坡道機械,7.43,0,,RPPNMLKMJHPFFEE87CA
左營區,房地(土地+建物)+車位,高雄市左營區重愛路22巷31~60號,12.68,住,,,1081219,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861024,142.59,3,2,2,有,有,6150000,33778,坡道平面,24.17,2150000,,RPPOMLKMJHPFFEE97CA
岡山區,房地(土地+建物),高雄市岡山區岡山路61~90號,34.48,住,,,1081124,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,173.95999999999998,3,1,1,有,有,6000000,34491,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQPMLKMJHPFFFE28CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區八德路二段121~150號,29.29,住,,,1081228,土地1建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880310,228.77,4,2,2,有,有,9900000,43275,坡道平面,0.0,0,,RPVNMLLMJHPFFGE78CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區新富路421~450號,27.61,住,,,1081118,土地1建物1車位2,十三層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880712,355.75,6,3,3,有,有,16200000,45538,坡道平面,0.0,0,,RPXNMLRJKHPFFGE76CA
