鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,33.87,住,,,1080831,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,217.28,4,2,2,有,無,41080000,189065,坡道平面,38.92,0,,RPQQMLNJKHPFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路三段1~30號,38.23,住,,,1081214,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080418,235.63,4,2,3,有,無,43500000,184611,坡道平面,34.2,0,,RPRQMLNJKHPFFCA87CA
中山區,房地(土地+建物),臺北市中山區新生北路二段31~60號,3.05,商,,,1081212,土地1建物1車位0,八層,十七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850718,35.370000000000005,1,1,1,有,有,6800000,192253,,0.0,0,,RPQRMLRJKHPFFCA28CA
松山區,房地(土地+建物),臺北市松山區新東街12巷1~30號,42.62,住,,,1081215,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.75,5,2,1,有,無,24100000,232289,,0.0,0,含增建或未登記建物。;,RPOPMLOKJHPFFDA67CA
南港區,房地(土地+建物),臺北市南港區重陽路166巷4弄1~30號,42.75,住,,,1081225,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,61.18,2,2,2,有,無,9200000,150376,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWPMLOKJHPFFDA48CA
松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,9.58,其他,,,1081224,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690207,94.75999999999999,2,2,1,有,有,22100000,233221,,0.0,0,,RPPQMLOKJHPFFDA87CA
南港區,房地(土地+建物),臺北市南港區福德街301~330號,16.12,住,,,1081226,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0620112,42.74,3,1,1,有,無,7300000,170800,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLOKJHPFFDA57CA
信義區,房地(土地+建物),臺北市信義區虎林街222巷1~30號,30.0,住,,,1081211,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.34,3,2,2,有,無,17900000,174907,,0.0,0,含增建或未登記建物。;,RPXNMLOKJHPFFDA38CA
南港區,房地(土地+建物),臺北市南港區興中路68巷1~30號,16.2,商,,,1081216,土地1建物1車位0,一層,十七層,店面(店鋪),商業用,鋼筋混凝土造,0831216,138.41,0,1,1,有,有,28000000,202298,,0.0,0,,RPOOMLPKJHPFFDA67CA
松山區,房地(土地+建物),臺北市松山區健康路325巷18弄1~30號,34.72,住,,,1080915,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751020,111.03,3,2,2,有,無,19000000,171125,,0.0,0,含增建或未登記建物。;,RPOQMLPKJHPFFDA87CA
